0x237	Recibida MO01 Corte
1964	Had Picnicker Missy 1st Rematch
1965	Had Picnicker Missy 2nd Rematch
1966	Had Fisherman Wade Rematch
1967	Had Swimmer Jack Rematch
1968	Had Sis and Bro Lil and Ian 1st Rematch
1969	Had Sis and Bro Lil and Ian 2nd Rematch
1970	Had Swimmer Finn Rematch
1971	Had Crush Girl Sharon 1st Rematch
1972	Had Crush Girl Sharon 2nd Rematch
1973	Had Crush Girl Tanya 1st Rematch
1974	Had Crush Girl Tanya 2nd Rematch
1975	Had Black Belt Shea 1st Rematch
1976	Had Black Belt Shea 2nd Rematch
1977	Had Black Belt Hugh 1st Rematch
1978	Had Black Belt Hugh 2nd Rematch
1979	Had Crush Kin Mik and Kia 1st Rematch
1980	Had Crush Kin Mik and Kia 2nd Rematch
1981	Had Tuber Amira Rematch
1982	Had Twins Joy and Meg Rematch
1983	Had Painter Rayna Rematch
1984	Had Youngster Destin Rematch
1985	Had Pokémon Breeder Alize Rematch
1986	Had Young Couple Gia and Jes 1st Rematch
1987	Had Young Couple Gia and Jes 2nd Rematch
1988	Had Bird Keeper Milo Rematch
1989	Had Bird Keeper Chaz Rematch
1990	Had Bird Keeper Harold Rematch
1991	Had Swimmer Nicole Rematch
1992	Had Psychic Jaclyn Rematch
1993	Had Swimmer Samir Rematch
1994	Had Hiker Earl Rematch
1995	Had Ruin Maniac Larry Rematch
1996	Had PokéManiac Hector Rematch
1997	Had Psychic Dario Rematch
1998	Had Psychic Rodette Rematch
1999	Had Juggler Mason Rematch
2000	Had Pokémon Ranger Nicolas Rematch
2001	Had Pokémon Ranger Madeline Rematch
2002	Had Crush Girl Cyndy Rematch
2003	Had Tamer Evan Rematch
2004	Had Pokémon Ranger Jackson Rematch
2005	Had Pokémon Ranger Katelyn Rematch
2006	Had Cooltrainer Leroy Rematch
2007	Had Cooltrainer Michelle Rematch
2008	Had Cool Couple Lex and Nya Rematch
2009	Had Bug Catcher Colton 1st Rematch
2010	Had Bug Catcher Colton 2nd Rematch
2011	Had Bug Catcher Colton 3rd Rematch
2012	Had Swimmer Matthew Rematch
2013	Had Swimmer Tony Rematch
2014	Had Swimmer Melissa Rematch
