0x089	Recibido MO01 Corte
0x861	Recibida PokéDex
0x862	Recibido PokeNav
0x864	Entrada al Hall de la Fama
0x866	Encontrar al Fardón
0x890	Vista TV en Casa
0x894	Mixed Records
0x895	Poner Reloj
0x896	Recibida PokéDex Nacional
0x89A	Marea de Cueva Cardumen
0x89B	Recibido un Listón
0x8AB	Debloqueada PC de Aredia
0x8AD	Usada Flauta Blanca
0x8AE	Usada Flauta Negra
0x8AF	Completado Puzzle de la Camara Sellada
0x8B0	Completado Puzzle de Regirock
0x8B1	Completado Puzzle de Regice
0x8B2	Completado Puzzle de Registeel
0x8BF	Puede Recibir Camp. Concha
0x8C0	Recibidas Deportivas
0x8C2	Reinicio de RTR Habilitado
0x8DB	Regalo Misterioso Habilitado
0x8E4	Recibida PokéDex

0x8C4	Recibido Símbolo de Plata de Destreza (Torre Batalla)
0x8C5	Recibido Símbolo de Oro de Destreza (Torre Batalla)
0x8C6	Recibido Símbolo de Plata de Táctica  (Cúpula Batalla)
0x8C7	Recibido Símbolo de Oro de Táctica  (Cúpula Batalla)
0x8C8	Recibido Símbolo de Plata del Ánimo (Palacio Batalla)
0x8C9	Recibido Símbolo de Oro del Ánimo (Palacio Batalla)
0x8CA	Recibido Símbolo de Plata de Coraje (Dojo Batalla)
0x8CB	Recibido Símbolo de Oro de Coraje (Dojo Batalla)
0x8CC	Recibido Símbolo de Plata del Saber (Fábrica Batalla)
0x8CD	Recibido Símbolo de Oro del Saber (Fábrica Batalla)
0x8CE	Recibido Símbolo de Plata de la Fortuna (Sierpe Batalla)
0x8CF	Recibido Símbolo de Oro de la Fortuna (Sierpe Batalla)
0x8D0	Recibido Símbolo de Plata de Valentía (Pirámide Batalla)
0x8D1	Recibido Símbolo de Oro de Valentía (Pirámide Batalla)
0x8D2	Recibido Pase Frontera
