RibbonChampionKalos	Campione Kalos
RibbonMarkFerocious	Emblema Istinto
RibbonMarkCrafty	Emblema Astuzia
RibbonMarkScowling	Emblema Aria Minacciosa
RibbonMarkKindly	Emblema Aria Gentile
RibbonMarkFlustered	Emblema Agitazione
RibbonMarkPumpedUp	Emblema Entusiasmo
RibbonMarkZeroEnergy	Emblema Pigrizia
RibbonMarkPrideful	Emblema Sicurezza
RibbonMarkUnsure	Emblema Insicurezza
RibbonMarkHumble	Emblema Ingenuità
RibbonMarkThorny	Emblema Artificio
RibbonMarkVigor	Emblema Vitalità
RibbonMarkSlump	Emblema Sottotono
RibbonHisui	Hisui
RibbonTwinklingStar	Stella Brillante
RibbonChampionPaldea	Campione Paldea
RibbonMarkJumbo	Emblema Grande e Grosso
RibbonMarkMini	Emblema Piccoletto
RibbonMarkItemfinder	Emblema Pigliatutto
RibbonMarkPartner	Emblema Compagno Fidato
RibbonMarkGourmand	Emblema Gourmet
RibbonOnceInALifetime	Eccezionale
RibbonMarkAlpha	Emblema dell’Alfa
RibbonMarkMightiest	Emblema della Forza Assoluta
RibbonMarkTitan	Emblema del dominante
RibbonPartner	Compagno
