Alpha Power (Lv. 1)
Alpha Power (Lv. 2)
Alpha Power (Lv. 3)
Move Power: Electric (Lv. 1)
Move Power: Electric (Lv. 2)
Move Power: Electric (Lv. 3)
Move Power: Grass (Lv. 1)
Move Power: Grass (Lv. 2)
Move Power: Grass (Lv. 3)
Move Power: Ice (Lv. 1)
Move Power: Ice (Lv. 2)
Move Power: Ice (Lv. 3)
Move Power: Fighting (Lv. 1)
Move Power: Fighting (Lv. 2)
Move Power: Fighting (Lv. 3)
Move Power: Poison (Lv. 1)
Move Power: Poison (Lv. 2)
Move Power: Poison (Lv. 3)
Move Power: Ground (Lv. 1)
Move Power: Ground (Lv. 2)
Move Power: Ground (Lv. 3)
Move Power: Flying (Lv. 1)
Move Power: Flying (Lv. 2)
Move Power: Flying (Lv. 3)
Move Power: Psychic (Lv. 1)
Move Power: Psychic (Lv. 2)
Move Power: Psychic (Lv. 3)
Move Power: Bug (Lv. 1)
Move Power: Bug (Lv. 2)
Move Power: Bug (Lv. 3)
Move Power: Rock (Lv. 1)
Move Power: Rock (Lv. 2)
Move Power: Rock (Lv. 3)
Move Power: Ghost (Lv. 1)
Move Power: Ghost (Lv. 2)
Move Power: Ghost (Lv. 3)
Move Power: Dragon (Lv. 1)
Move Power: Dragon (Lv. 2)
Move Power: Dragon (Lv. 3)
Move Power: Dark (Lv. 1)
Move Power: Dark (Lv. 2)
Move Power: Dark (Lv. 3)
Move Power: Steel (Lv. 1)
Move Power: Steel (Lv. 2)
Move Power: Steel (Lv. 3)
Move Power: Fairy (Lv. 1)
Move Power: Fairy (Lv. 2)
Move Power: Fairy (Lv. 3)
Speed Power (Lv. 1)
Speed Power (Lv. 2)
Speed Power (Lv. 3)
Big Haul Power (Lv. 1)
Big Haul Power (Lv. 2)
Big Haul Power (Lv. 3)
Item Power: Berries (Lv. 1)
Item Power: Berries (Lv. 2)
Item Power: Berries (Lv. 3)
Item Power: Candies (Lv. 1)
Item Power: Candies (Lv. 2)
Item Power: Candies (Lv. 3)
Item Power: Treasure (Lv. 1)
Item Power: Treasure (Lv. 2)
Item Power: Treasure (Lv. 3)
Item Power: Poké Balls (Lv. 1)
Item Power: Poké Balls (Lv. 2)
Item Power: Poké Balls (Lv. 3)
Item Power: Special (Lv. 1)
Item Power: Special (Lv. 2)
Item Power: Special (Lv. 3)
Item Power: Coins (Lv. 1)
Item Power: Coins (Lv. 2)
Item Power: Coins (Lv. 3)
Mega Power Charging (Lv. 1)
Mega Power Charging (Lv. 2)
Mega Power Charging (Lv. 3)
Mega Power Conservation (Lv. 1)
Mega Power Conservation (Lv. 2)
Mega Power Conservation (Lv. 3)
Defense Power (Lv. 1)
Defense Power (Lv. 2)
Defense Power (Lv. 3)
Sp. Def Power (Lv. 1)
Sp. Def Power (Lv. 2)
Sp. Def Power (Lv. 3)
Resistance Power: Normal (Lv. 1)
Resistance Power: Normal (Lv. 2)
Resistance Power: Normal (Lv. 3)
Resistance Power: Fire (Lv. 1)
Resistance Power: Fire (Lv. 2)
Resistance Power: Fire (Lv. 3)
Resistance Power: Water (Lv. 1)
Resistance Power: Water (Lv. 2)
Resistance Power: Water (Lv. 3)
Resistance Power: Electric (Lv. 1)
Resistance Power: Electric (Lv. 2)
Resistance Power: Electric (Lv. 3)
Resistance Power: Grass (Lv. 1)
Resistance Power: Grass (Lv. 2)
Resistance Power: Grass (Lv. 3)
Resistance Power: Ice (Lv. 1)
Resistance Power: Ice (Lv. 2)
Resistance Power: Ice (Lv. 3)
Resistance Power: Fighting (Lv. 1)
Resistance Power: Fighting (Lv. 2)
Resistance Power: Fighting (Lv. 3)
Resistance Power: Poison (Lv. 1)
Resistance Power: Poison (Lv. 2)
Resistance Power: Poison (Lv. 3)
Resistance Power: Ground (Lv. 1)
Resistance Power: Ground (Lv. 2)
Resistance Power: Ground (Lv. 3)
Resistance Power: Flying (Lv. 1)
Resistance Power: Flying (Lv. 2)
Resistance Power: Flying (Lv. 3)
Resistance Power: Psychic (Lv. 1)
Resistance Power: Psychic (Lv. 2)
Resistance Power: Psychic (Lv. 3)
Resistance Power: Bug (Lv. 1)
Resistance Power: Bug (Lv. 2)
Resistance Power: Bug (Lv. 3)
Resistance Power: Rock (Lv. 1)
Resistance Power: Rock (Lv. 2)
Resistance Power: Rock (Lv. 3)
Resistance Power: Ghost (Lv. 1)
Resistance Power: Ghost (Lv. 2)
Resistance Power: Ghost (Lv. 3)
Resistance Power: Dragon (Lv. 1)
Resistance Power: Dragon (Lv. 2)
Resistance Power: Dragon (Lv. 3)
Resistance Power: Dark (Lv. 1)
Resistance Power: Dark (Lv. 2)
Resistance Power: Dark (Lv. 3)
Resistance Power: Steel (Lv. 1)
Resistance Power: Steel (Lv. 2)
Resistance Power: Steel (Lv. 3)
Resistance Power: Fairy (Lv. 1)
Resistance Power: Fairy (Lv. 2)
Resistance Power: Fairy (Lv. 3)
Humungo Power (Lv. 1)
Humungo Power (Lv. 2)
Humungo Power (Lv. 3)
Teensy Power (Lv. 1)
Teensy Power (Lv. 2)
Teensy Power (Lv. 3)
Encounter Power (Lv. 1)
Encounter Power (Lv. 2)
Encounter Power (Lv. 3)
Catching Power: Normal (Lv. 1)
Catching Power: Normal (Lv. 2)
Catching Power: Normal (Lv. 3)
Catching Power: Fire (Lv. 1)
Catching Power: Fire (Lv. 2)
Catching Power: Fire (Lv. 3)
Catching Power: Water (Lv. 1)
Catching Power: Water (Lv. 2)
Catching Power: Water (Lv. 3)
Catching Power: Electric (Lv. 1)
Catching Power: Electric (Lv. 2)
Catching Power: Electric (Lv. 3)
Catching Power: Grass (Lv. 1)
Catching Power: Grass (Lv. 2)
Catching Power: Grass (Lv. 3)
Catching Power: Ice (Lv. 1)
Catching Power: Ice (Lv. 2)
Catching Power: Ice (Lv. 3)
Catching Power: Fighting (Lv. 1)
Catching Power: Fighting (Lv. 2)
Catching Power: Fighting (Lv. 3)
Catching Power: Poison (Lv. 1)
Catching Power: Poison (Lv. 2)
Catching Power: Poison (Lv. 3)
Catching Power: Ground (Lv. 1)
Catching Power: Ground (Lv. 2)
Catching Power: Ground (Lv. 3)
Catching Power: Flying (Lv. 1)
Catching Power: Flying (Lv. 2)
Catching Power: Flying (Lv. 3)
Catching Power: Psychic (Lv. 1)
Catching Power: Psychic (Lv. 2)
Catching Power: Psychic (Lv. 3)
Catching Power: Bug (Lv. 1)
Catching Power: Bug (Lv. 2)
Catching Power: Bug (Lv. 3)
Catching Power: Rock (Lv. 1)
Catching Power: Rock (Lv. 2)
Catching Power: Rock (Lv. 3)
Catching Power: Ghost (Lv. 1)
Catching Power: Ghost (Lv. 2)
Catching Power: Ghost (Lv. 3)
Catching Power: Dragon (Lv. 1)
Catching Power: Dragon (Lv. 2)
Catching Power: Dragon (Lv. 3)
Catching Power: Dark (Lv. 1)
Catching Power: Dark (Lv. 2)
Catching Power: Dark (Lv. 3)
Catching Power: Steel (Lv. 1)
Catching Power: Steel (Lv. 2)
Catching Power: Steel (Lv. 3)
Catching Power: Fairy (Lv. 1)
Catching Power: Fairy (Lv. 2)
Catching Power: Fairy (Lv. 3)
Catching Power: All Types (Lv. 1)
Catching Power: All Types (Lv. 2)
Catching Power: All Types (Lv. 3)
Pitch-Black Power
Ruby-Red Power
Sapphire-Blue Power
Emerald-Green Power
Thunderclap Power
