Poder Alfa Nv. 1
Poder Alfa Nv. 2
Poder Alfa Nv. 3
Poder Captura Normal Nv. 2
Poder Captura Normal Nv. 3
Poder Captura Fuego Nv. 1
Poder Captura Fuego Nv. 2
Poder Captura Fuego Nv. 3
Poder Captura Agua Nv. 1
Poder Captura Agua Nv. 2
Poder Captura Agua Nv. 3
Poder Captura Eléctrico Nv. 1
Poder Captura Eléctrico Nv. 2
Poder Captura Eléctrico Nv. 3
Poder Captura Planta Nv. 1
Poder Captura Planta Nv. 2
Poder Captura Planta Nv. 3
Poder Captura Hielo Nv. 1
Poder Captura Hielo Nv. 2
Poder Captura Hielo Nv. 3
Poder Captura Lucha Nv. 1
Poder Captura Lucha Nv. 2
Poder Captura Lucha Nv. 3
Poder Captura Veneno Nv. 1
Poder Captura Veneno Nv. 2
Poder Captura Veneno Nv. 3
Poder Captura Tierra Nv. 1
Poder Captura Tierra Nv. 2
Poder Captura Tierra Nv. 3
Poder Captura Volador Nv. 1
Poder Captura Volador Nv. 2
Poder Captura Volador Nv. 3
Poder Captura Psíquico Nv. 1
Poder Captura Psíquico Nv. 2
Poder Captura Psíquico Nv. 3
Poder Captura Bicho Nv. 1
Poder Captura Bicho Nv. 2
Poder Captura Bicho Nv. 3
Poder Captura Roca Nv. 1
Poder Captura Roca Nv. 2
Poder Captura Roca Nv. 3
Poder Captura Fantasma Nv. 1
Poder Captura Fantasma Nv. 2
Poder Captura Fantasma Nv. 3
Poder Captura Dragón Nv. 1
Poder Captura Dragón Nv. 2
Poder Captura Dragón Nv. 3
Poder Captura Siniestro Nv. 1
Poder Captura Siniestro Nv. 2
Poder Captura Siniestro Nv. 3
Poder Captura Acero Nv. 1
Poder Captura Acero Nv. 2
Poder Captura Acero Nv. 3
Poder Captura Hada Nv. 1
Poder Captura Hada Nv. 2
Poder Captura Hada Nv. 3
Poder Captura de todos los tipos Nv. 1
Poder Captura de todos los tipos Nv. 2
Poder Captura de todos los tipos Nv. 3
Poder Tenebroso
Poder Rubí
Poder Zafiro
Poder Esmeralda
Poder Fulgor
