Poder Alfa Nv. 1
Poder Alfa Nv. 2
Poder Alfa Nv. 3
Poder Resistencia Fuego Nv. 2
Poder Resistencia Fuego Nv. 3
Poder Resistencia Agua Nv. 1
Poder Resistencia Agua Nv. 2
Poder Resistencia Agua Nv. 3
Poder Resistencia Eléctrico Nv. 1
Poder Resistencia Eléctrico Nv. 2
Poder Resistencia Eléctrico Nv. 3
Poder Resistencia Planta Nv. 1
Poder Resistencia Planta Nv. 2
Poder Resistencia Planta Nv. 3
Poder Resistencia Hielo Nv. 1
Poder Resistencia Hielo Nv. 2
Poder Resistencia Hielo Nv. 3
Poder Resistencia Pelea Nv. 1
Poder Resistencia Pelea Nv. 2
Poder Resistencia Pelea Nv. 3
Poder Resistencia Veneno Nv. 1
Poder Resistencia Veneno Nv. 2
Poder Resistencia Veneno Nv. 3
Poder Resistencia Tierra Nv. 1
Poder Resistencia Tierra Nv. 2
Poder Resistencia Tierra Nv. 3
Poder Resistencia Volador Nv. 1
Poder Resistencia Volador Nv. 2
Poder Resistencia Volador Nv. 3
Poder Resistencia Psíquico Nv. 1
Poder Resistencia Psíquico Nv. 2
Poder Resistencia Psíquico Nv. 3
Poder Resistencia Insecto Nv. 1
Poder Resistencia Insecto Nv. 2
Poder Resistencia Insecto Nv. 3
Poder Resistencia Roca Nv. 1
Poder Resistencia Roca Nv. 2
Poder Resistencia Roca Nv. 3
Poder Resistencia Fantasma Nv. 1
Poder Resistencia Fantasma Nv. 2
Poder Resistencia Fantasma Nv. 3
Poder Resistencia Dragón Nv. 1
Poder Resistencia Dragón Nv. 2
Poder Resistencia Dragón Nv. 3
Poder Resistencia Siniestro Nv. 1
Poder Resistencia Siniestro Nv. 2
Poder Resistencia Siniestro Nv. 3
Poder Resistencia Acero Nv. 1
Poder Resistencia Acero Nv. 2
Poder Resistencia Acero Nv. 3
Poder Resistencia Hada Nv. 1
Poder Resistencia Hada Nv. 2
Poder Resistencia Hada Nv. 3
Poder Gigante Nv. 1
Poder Gigante Nv. 2
Poder Gigante Nv. 3
Poder Diminuto Nv. 1
Poder Diminuto Nv. 2
Poder Diminuto Nv. 3
Poder Encuentro Nv. 1
Poder Encuentro Nv. 2
Poder Encuentro Nv. 3
Poder Captura Normal Nv. 1
Poder Captura Normal Nv. 2
Poder Captura Normal Nv. 3
Poder Captura Fuego Nv. 1
Poder Captura Fuego Nv. 2
Poder Captura Fuego Nv. 3
Poder Captura Agua Nv. 1
Poder Captura Agua Nv. 2
Poder Captura Agua Nv. 3
Poder Captura Eléctrico Nv. 1
Poder Captura Eléctrico Nv. 2
Poder Captura Eléctrico Nv. 3
Poder Captura Planta Nv. 1
Poder Captura Planta Nv. 2
Poder Captura Planta Nv. 3
Poder Captura Hielo Nv. 1
Poder Captura Hielo Nv. 2
Poder Captura Hielo Nv. 3
Poder Captura Pelea Nv. 1
Poder Captura Pelea Nv. 2
Poder Captura Pelea Nv. 3
Poder Captura Veneno Nv. 1
Poder Captura Veneno Nv. 2
Poder Captura Veneno Nv. 3
Poder Captura Tierra Nv. 1
Poder Captura Tierra Nv. 2
Poder Captura Tierra Nv. 3
Poder Captura Volador Nv. 1
Poder Captura Volador Nv. 2
Poder Captura Volador Nv. 3
Poder Captura Psíquico Nv. 1
Poder Captura Psíquico Nv. 2
Poder Captura Psíquico Nv. 3
Poder Captura Insecto Nv. 1
Poder Captura Insecto Nv. 2
Poder Captura Insecto Nv. 3
Poder Captura Roca Nv. 1
Poder Captura Roca Nv. 2
Poder Captura Roca Nv. 3
Poder Captura Fantasma Nv. 1
Poder Captura Fantasma Nv. 2
Poder Captura Fantasma Nv. 3
Poder Captura Dragón Nv. 1
Poder Captura Dragón Nv. 2
Poder Captura Dragón Nv. 3
Poder Captura Siniestro Nv. 1
Poder Captura Siniestro Nv. 2
Poder Captura Siniestro Nv. 3
Poder Captura Acero Nv. 1
Poder Captura Acero Nv. 2
Poder Captura Acero Nv. 3
Poder Captura Hada Nv. 1
Poder Captura Hada Nv. 2
Poder Captura Hada Nv. 3
Poder Captura de todos los tipos Nv. 1
Poder Captura de todos los tipos Nv. 2
Poder Captura de todos los tipos Nv. 3
Poder Tenebroso
Poder Rubí
Poder Zafiro
Poder Esmeralda
Poder Fulgor
