RibbonChampionKalos	卡洛斯冠军奖章
RibbonMarkFlustered	动摇之证
RibbonMarkPumpedUp	昂扬之证
RibbonMarkZeroEnergy	倦怠之证
RibbonMarkPrideful	自信之证
RibbonMarkUnsure	自卑之证
RibbonMarkHumble	木讷之证
RibbonMarkThorny	不纯之证
RibbonMarkVigor	活力之证
RibbonMarkSlump	不振之证
RibbonHisui	洗翠奖章
RibbonTwinklingStar	闪亮之星奖章
RibbonChampionPaldea	帕底亚冠军奖章
RibbonMarkJumbo	大个子之证
RibbonMarkMini	小不点之证
RibbonMarkItemfinder	捡拾之证
RibbonMarkPartner	搭档之证
RibbonMarkGourmand	美食之证
RibbonOnceInALifetime	千载难逢奖章
RibbonMarkAlpha	头目之证
RibbonMarkMightiest	最强之证
RibbonMarkTitan	宝主之证
RibbonPartner	同伴奖章
