RibbonChampionKalos	卡洛斯冠軍
RibbonMarkAbsentMinded	無慮之證
RibbonMarkJittery	緊張之證
RibbonMarkExcited	期待之證
RibbonMarkCharismatic	領袖之證
RibbonMarkCalmness	冷靜之證
RibbonMarkIntense	熱情之證
RibbonMarkZonedOut	疏忽之證
RibbonMarkJoyful	幸福之證
RibbonMarkAngry	憤怒之證
RibbonMarkSmiley	微笑之證
RibbonMarkTeary	悲傷之證
RibbonMarkUpbeat	爽快之證
RibbonMarkPeeved	激動之證
RibbonMarkIntellectual	理性之證
RibbonMarkFerocious	本能之證
RibbonMarkCrafty	狡猾之證
RibbonMarkScowling	兇悍之證
RibbonMarkKindly	優雅之證
RibbonMarkFlustered	動搖之證
RibbonMarkPumpedUp	昂揚之證
RibbonMarkZeroEnergy	倦怠之證
RibbonMarkPrideful	自信之證
RibbonMarkUnsure	自卑之證
RibbonMarkHumble	木訥之證
RibbonMarkThorny	不純之證
RibbonMarkVigor	活力之證
RibbonMarkSlump	不振之證
RibbonHisui	洗翠獎章
RibbonTwinklingStar	閃亮之星獎章
RibbonChampionPaldea	帕底亞冠軍獎章
RibbonMarkJumbo	大個子之證
RibbonMarkMini	小不點之證
RibbonMarkItemfinder	撿拾之證
RibbonMarkPartner	搭檔之證
RibbonMarkGourmand	美食之證
RibbonOnceInALifetime	千載難逢獎章
RibbonMarkAlpha	頭目之證
RibbonMarkMightiest	最強之證
RibbonMarkTitan	寳主之證
RibbonPartner	同伴獎章
